timestamp,T_air_C,GHI_Wm2
2024-08-10 00:00:00+02:00,24.4,0.02
2024-08-10 00:15:00+02:00,24.2,0.02
2024-08-10 00:30:00+02:00,24.0,0.02
2024-08-10 00:45:00+02:00,23.9,0.02
2024-08-10 01:00:00+02:00,23.8,0.02
2024-08-10 01:15:00+02:00,23.7,0.02
2024-08-10 01:30:00+02:00,23.7,0.02
2024-08-10 01:45:00+02:00,23.6,0.02
2024-08-10 02:00:00+02:00,23.5,0.02
2024-08-10 02:15:00+02:00,23.4,0.02
2024-08-10 02:30:00+02:00,23.2,0.02
2024-08-10 02:45:00+02:00,23.1,0.02
2024-08-10 03:00:00+02:00,23.0,0.02
2024-08-10 03:15:00+02:00,22.9,0.02
2024-08-10 03:30:00+02:00,22.8,0.02
2024-08-10 03:45:00+02:00,22.8,0.02
2024-08-10 04:00:00+02:00,22.7,0.02
2024-08-10 04:15:00+02:00,22.6,0.02
2024-08-10 04:30:00+02:00,22.5,0.02
2024-08-10 04:45:00+02:00,22.2,0.02
2024-08-10 05:00:00+02:00,22.0,0.02
2024-08-10 05:15:00+02:00,21.8,2.46
2024-08-10 05:30:00+02:00,21.6,4.89
2024-08-10 05:45:00+02:00,21.5,7.33
2024-08-10 06:00:00+02:00,21.4,9.77
2024-08-10 06:15:00+02:00,21.2,40.11
2024-08-10 06:30:00+02:00,21.3,70.45
2024-08-10 06:45:00+02:00,21.2,100.78
2024-08-10 07:00:00+02:00,21.0,131.12
2024-08-10 07:15:00+02:00,20.8,179.34
2024-08-10 07:30:00+02:00,20.6,227.55
2024-08-10 07:45:00+02:00,20.4,275.76
2024-08-10 08:00:00+02:00,20.3,323.98
2024-08-10 08:15:00+02:00,20.2,366.68
2024-08-10 08:30:00+02:00,20.1,409.37
2024-08-10 08:45:00+02:00,20.1,452.06
2024-08-10 09:00:00+02:00,20.4,494.76
2024-08-10 09:15:00+02:00,20.6,532.93
2024-08-10 09:30:00+02:00,21.0,571.1
2024-08-10 09:45:00+02:00,21.4,609.28
2024-08-10 10:00:00+02:00,22.0,647.45
2024-08-10 10:15:00+02:00,22.5,675.36
2024-08-10 10:30:00+02:00,22.9,703.28
2024-08-10 10:45:00+02:00,23.4,731.19
2024-08-10 11:00:00+02:00,23.8,759.1
2024-08-10 11:15:00+02:00,24.0,774.97
2024-08-10 11:30:00+02:00,24.1,790.84
2024-08-10 11:45:00+02:00,24.1,806.7
2024-08-10 12:00:00+02:00,24.2,822.57
2024-08-10 12:15:00+02:00,24.4,820.86
2024-08-10 12:30:00+02:00,24.4,819.14
2024-08-10 12:45:00+02:00,24.6,817.43
2024-08-10 13:00:00+02:00,24.8,815.72
2024-08-10 13:15:00+02:00,25.1,815.06
2024-08-10 13:30:00+02:00,25.4,814.41
2024-08-10 13:45:00+02:00,25.8,813.76
2024-08-10 14:00:00+02:00,26.1,813.1
2024-08-10 14:15:00+02:00,26.4,793.6
2024-08-10 14:30:00+02:00,26.6,774.1
2024-08-10 14:45:00+02:00,26.8,754.6
2024-08-10 15:00:00+02:00,27.0,735.1
2024-08-10 15:15:00+02:00,27.1,705.86
2024-08-10 15:30:00+02:00,27.2,676.62
2024-08-10 15:45:00+02:00,27.3,647.39
2024-08-10 16:00:00+02:00,27.4,618.15
2024-08-10 16:15:00+02:00,27.4,580.5
2024-08-10 16:30:00+02:00,27.5,542.86
2024-08-10 16:45:00+02:00,27.7,505.21
2024-08-10 17:00:00+02:00,27.9,467.56
2024-08-10 17:15:00+02:00,28.0,424.64
2024-08-10 17:30:00+02:00,28.1,381.72
2024-08-10 17:45:00+02:00,28.2,338.81
2024-08-10 18:00:00+02:00,28.3,295.89
2024-08-10 18:15:00+02:00,28.3,254.2
2024-08-10 18:30:00+02:00,28.3,212.51
2024-08-10 18:45:00+02:00,28.4,170.82
2024-08-10 19:00:00+02:00,28.3,129.13
2024-08-10 19:15:00+02:00,28.2,101.07
2024-08-10 19:30:00+02:00,28.3,73.01
2024-08-10 19:45:00+02:00,28.3,44.95
2024-08-10 20:00:00+02:00,28.3,16.89
2024-08-10 20:15:00+02:00,28.3,12.67
2024-08-10 20:30:00+02:00,28.2,8.46
2024-08-10 20:45:00+02:00,28.1,4.24
2024-08-10 21:00:00+02:00,27.9,0.02
2024-08-10 21:15:00+02:00,27.7,0.02
2024-08-10 21:30:00+02:00,27.3,0.02
2024-08-10 21:45:00+02:00,27.0,0.02
2024-08-10 22:00:00+02:00,26.8,0.02
2024-08-10 22:15:00+02:00,26.5,0.02
2024-08-10 22:30:00+02:00,26.3,0.02
2024-08-10 22:45:00+02:00,25.9,0.02
2024-08-10 23:00:00+02:00,25.6,0.02
2024-08-10 23:15:00+02:00,25.4,0.02
2024-08-10 23:30:00+02:00,25.2,0.02
2024-08-10 23:45:00+02:00,24.9,0.03
2024-08-11 00:00:00+02:00,24.7,0.03
2024-08-11 00:15:00+02:00,24.5,0.03
2024-08-11 00:30:00+02:00,24.2,0.02
2024-08-11 00:45:00+02:00,24.0,0.02
2024-08-11 01:00:00+02:00,23.9,0.02
2024-08-11 01:15:00+02:00,23.8,0.02
2024-08-11 01:30:00+02:00,23.6,0.02
2024-08-11 01:45:00+02:00,23.5,0.03
2024-08-11 02:00:00+02:00,23.3,0.03
2024-08-11 02:15:00+02:00,23.2,0.03
2024-08-11 02:30:00+02:00,23.0,0.02
2024-08-11 02:45:00+02:00,22.9,0.02
2024-08-11 03:00:00+02:00,22.8,0.02
2024-08-11 03:15:00+02:00,22.6,0.02
2024-08-11 03:30:00+02:00,22.4,0.02
2024-08-11 03:45:00+02:00,22.2,0.03
2024-08-11 04:00:00+02:00,22.0,0.03
2024-08-11 04:15:00+02:00,21.9,0.03
2024-08-11 04:30:00+02:00,21.8,0.03
2024-08-11 04:45:00+02:00,21.7,0.03
2024-08-11 05:00:00+02:00,21.6,0.03
2024-08-11 05:15:00+02:00,21.5,2.29
2024-08-11 05:30:00+02:00,21.3,4.55
2024-08-11 05:45:00+02:00,21.2,6.8
2024-08-11 06:00:00+02:00,21.1,9.06
2024-08-11 06:15:00+02:00,21.0,39.29
2024-08-11 06:30:00+02:00,21.0,69.51
2024-08-11 06:45:00+02:00,21.0,99.74
2024-08-11 07:00:00+02:00,20.8,129.96
2024-08-11 07:15:00+02:00,20.6,179.15
2024-08-11 07:30:00+02:00,20.5,228.35
2024-08-11 07:45:00+02:00,20.3,277.54
2024-08-11 08:00:00+02:00,20.2,326.73
2024-08-11 08:15:00+02:00,20.1,368.67
2024-08-11 08:30:00+02:00,20.1,410.62
2024-08-11 08:45:00+02:00,20.2,452.56
2024-08-11 09:00:00+02:00,20.4,494.5
2024-08-11 09:15:00+02:00,20.7,531.34
2024-08-11 09:30:00+02:00,21.1,568.17
2024-08-11 09:45:00+02:00,21.6,605.01
2024-08-11 10:00:00+02:00,22.1,641.85
2024-08-11 10:15:00+02:00,22.6,669.65
2024-08-11 10:30:00+02:00,23.1,697.45
2024-08-11 10:45:00+02:00,23.6,725.25
2024-08-11 11:00:00+02:00,24.0,753.05
2024-08-11 11:15:00+02:00,24.3,769.84
2024-08-11 11:30:00+02:00,24.5,786.64
2024-08-11 11:45:00+02:00,24.6,803.43
